 17:40:26 up 1 day,  8:21,  1 user,  load average: 2.40, 1.43, 0.76
 17:40:27 up 1 day,  8:21,  1 user,  load average: 2.40, 1.43, 0.76
 17:40:28 up 1 day,  8:21,  1 user,  load average: 2.37, 1.44, 0.77
 17:40:29 up 1 day,  8:21,  1 user,  load average: 2.37, 1.44, 0.77
 17:40:30 up 1 day,  8:21,  1 user,  load average: 2.37, 1.44, 0.77
 17:40:31 up 1 day,  8:21,  1 user,  load average: 2.37, 1.44, 0.77
 17:40:32 up 1 day,  8:21,  1 user,  load average: 2.37, 1.44, 0.77
 17:40:33 up 1 day,  8:21,  1 user,  load average: 2.42, 1.47, 0.78
 17:40:34 up 1 day,  8:21,  1 user,  load average: 2.42, 1.47, 0.78
 17:40:35 up 1 day,  8:21,  1 user,  load average: 2.42, 1.47, 0.78
 17:40:36 up 1 day,  8:21,  1 user,  load average: 2.42, 1.47, 0.78
 17:40:37 up 1 day,  8:21,  1 user,  load average: 2.42, 1.47, 0.78
 17:40:38 up 1 day,  8:21,  1 user,  load average: 2.31, 1.46, 0.79
 17:40:39 up 1 day,  8:22,  1 user,  load average: 2.31, 1.46, 0.79
 17:40:40 up 1 day,  8:22,  1 user,  load average: 2.31, 1.46, 0.79
 17:40:41 up 1 day,  8:22,  1 user,  load average: 2.31, 1.46, 0.79
 17:40:42 up 1 day,  8:22,  1 user,  load average: 2.31, 1.46, 0.79
 17:40:43 up 1 day,  8:22,  1 user,  load average: 2.28, 1.47, 0.79
 17:40:44 up 1 day,  8:22,  1 user,  load average: 2.28, 1.47, 0.79
 17:40:45 up 1 day,  8:22,  1 user,  load average: 2.28, 1.47, 0.79
 17:40:46 up 1 day,  8:22,  1 user,  load average: 2.28, 1.47, 0.79
 17:40:47 up 1 day,  8:22,  1 user,  load average: 2.28, 1.47, 0.79
 17:40:48 up 1 day,  8:22,  1 user,  load average: 2.42, 1.51, 0.81
 17:40:49 up 1 day,  8:22,  1 user,  load average: 2.42, 1.51, 0.81
 17:40:50 up 1 day,  8:22,  1 user,  load average: 2.42, 1.51, 0.81
 17:40:52 up 1 day,  8:22,  1 user,  load average: 2.42, 1.51, 0.81
 17:40:53 up 1 day,  8:22,  1 user,  load average: 2.42, 1.51, 0.81
 17:40:54 up 1 day,  8:22,  1 user,  load average: 2.55, 1.55, 0.83
 17:40:55 up 1 day,  8:22,  1 user,  load average: 2.55, 1.55, 0.83
 17:40:56 up 1 day,  8:22,  1 user,  load average: 2.55, 1.55, 0.83
 17:40:57 up 1 day,  8:22,  1 user,  load average: 2.55, 1.55, 0.83
 17:40:58 up 1 day,  8:22,  1 user,  load average: 2.58, 1.58, 0.84
 17:40:59 up 1 day,  8:22,  1 user,  load average: 2.58, 1.58, 0.84
 17:41:00 up 1 day,  8:22,  1 user,  load average: 2.58, 1.58, 0.84
 17:41:01 up 1 day,  8:22,  1 user,  load average: 2.58, 1.58, 0.84
 17:41:02 up 1 day,  8:22,  1 user,  load average: 2.58, 1.58, 0.84
 17:41:03 up 1 day,  8:22,  1 user,  load average: 2.54, 1.58, 0.85
 17:41:04 up 1 day,  8:22,  1 user,  load average: 2.54, 1.58, 0.85
